Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-12-31,24509.0,18978.0,5531.0,1240.0,3060.0,-102.0,23380.0,1129.0,32.0,1161.0,253.0,908.0,0.0,902.0,0.0,902.0,1507.0,1129.0,433.0,442.0,2.08,2.04
2010-12-31,34204.0,26561.0,7643.0,1734.0,4397.0,-106.0,32798.0,1406.0,91.0,1497.0,352.0,1145.0,0.0,1152.0,0.0,1152.0,1974.0,1406.0,447.0,456.0,2.58,2.53
2011-12-31,48077.0,37288.0,10789.0,2909.0,6864.0,-154.0,47215.0,862.0,72.0,934.0,291.0,643.0,0.0,631.0,0.0,631.0,1945.0,862.0,453.0,461.0,1.39,1.37
2012-12-31,61093.0,45971.0,15122.0,4564.0,9723.0,-159.0,60417.0,676.0,-132.0,544.0,428.0,116.0,0.0,-39.0,0.0,-39.0,2835.0,676.0,453.0,453.0,-0.09,-0.09
2013-12-31,74452.0,54181.0,20271.0,6565.0,12847.0,-114.0,73707.0,745.0,-239.0,506.0,161.0,345.0,0.0,274.0,0.0,274.0,3998.0,745.0,457.0,465.0,0.6,0.59
2014-12-31,88988.0,62752.0,26236.0,9275.0,16650.0,-133.0,88810.0,178.0,-289.0,-111.0,167.0,-278.0,0.0,-241.0,0.0,-241.0,4924.0,178.0,462.0,462.0,-0.52,-0.52
2015-12-31,107006.0,71651.0,35355.0,12540.0,20411.0,-171.0,104773.0,2233.0,-665.0,1568.0,950.0,618.0,0.0,596.0,0.0,596.0,8514.0,2233.0,467.0,477.0,1.28,1.25
2016-12-31,135987.0,88265.0,47722.0,16085.0,27284.0,-167.0,131801.0,4186.0,-294.0,3892.0,1425.0,2467.0,0.0,2371.0,0.0,2371.0,12302.0,4186.0,474.0,484.0,5.01,4.9
2017-12-31,177866.0,111934.0,65932.0,22620.0,38992.0,-214.0,173760.0,4106.0,-300.0,3806.0,769.0,3037.0,0.0,3033.0,0.0,3033.0,15584.0,4106.0,480.0,493.0,6.32,6.15
2018-12-31,232887.0,139156.0,93731.0,28837.0,52177.0,-296.0,220466.0,12421.0,-1160.0,11261.0,1197.0,10064.0,0.0,10073.0,0.0,10073.0,27762.0,12421.0,487.0,500.0,20.68,20.14
2019-12-31,280522.0,165536.0,114986.0,35931.0,64313.0,-201.0,265981.0,14541.0,-565.0,13976.0,2374.0,11602.0,0.0,11588.0,0.0,11588.0,36330.0,14541.0,494.0,504.0,23.46,23.01
2020-12-31,386064.0,233307.0,152757.0,42740.0,87193.0,75.0,363165.0,22899.0,1279.0,24178.0,2863.0,21315.0,0.0,21331.0,0.0,21331.0,48150.0,22899.0,500.0,510.0,42.64,41.83
2021-12-31,469822.0,272344.0,197478.0,56052.0,116485.0,-62.0,444943.0,24879.0,13272.0,38151.0,4791.0,33360.0,0.0,33364.0,0.0,33364.0,59175.0,24879.0,506.0,515.0,65.96,64.81
